,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
187,CIBQCAIBCYBAEAICA4DAEBQVCYOC2OR6AIAQEAIGAUBAMBIIBMKBWAIBAIDBC,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,89
188,CIBQEAIDD4QQOAIBBMLB4JRJFIYACAQBAIBAEAIBAMCAGAIDAQMDKAA,Noxus,Freljord,Ashe,Sejuani,None,None,88
189,CIBQCAQGCYDACAABBELB2JZLAIBAACIKAMAQEBQIAQAQAFI2EUTACAQABAAQCAQAA4,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,87
190,CIBAKAIEBYIBWNBYAYAQADYXDIQSQKQDAEBAIBQBAEACSAICAAFACAICAACQ,Piltover & Zaun,Demacia,Heimerdinger,Lux,None,None,87
191,CIBAGAIDFYZTOBIBAUUDCMRVGYBQEAIDAQLACAQDBECQCBIBB4RSWOAA,Noxus,Shadow Isles,Elise,None,None,None,87
192,CIBQCAQGHIAQCAIDAIBACBQJAMBACAIUFIBAEAICAQDQEBQBAQFREHBAFUBQCAIBEEBQEBQCCQZAEAQBAUEA,Bilgewater,Freljord,Sejuani,Gangplank,None,None,87
193,CIBQGAIDFYZTOAICAMEQQAIFAEOSQKZRGI2TMAQBAEBRMAIBAUHQA,Noxus,Shadow Isles,Elise,None,None,None,86
194,CIBQKAQGBAHB2LJOAUAQIGY7EQ2DUAICAQDAEAIBAQAQEAQGCQOACAIBAQYQ,Bilgewater,Piltover & Zaun,Fizz,Ezreal,None,None,86
195,CIAAEBQBAUARSHJIFM3ASAIBAEDQWFQ2EQTDENYCAMAQKDZBGEDQCAIJCMKCOKBJHA,Shadow Isles,Freljord,Ashe,Braum,Tryndamere,None,86
196,CIBQCAIFFABAEBIIBIDAEBQ5E4WC6NJYAMBAEBRFGYBQCBIZDU3ACAQFA4AQCAQFAM,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,86
197,CIBQEAIDAQXAKAIECENR6JBUAMBAGBYIBEBAEAIEDIYQEAQDAECAEAIBAQWACAQDAY,Noxus,Piltover & Zaun,Ezreal,Swain,None,None,86
198,CICAGAIABQHRUAICAAFAKAIBBAERAGJVAIBACAYHAIBACAAGGEAQEAABAEAQCAJL,Demacia,Freljord,Garen,Braum,None,None,85
199,CIBQIAIBAMERQMQBAIAQOBYBAUARIHJAFAVTCAICAECQ6NQA,Freljord,Shadow Isles,Braum,Anivia,None,None,85
