,deck_code,matches_played
184,CIBAGAIAEEVDEBIBAIAQEBBJGEBQCAQCAUDACAAPC4MBUKBQAEBAABIA,90
185,CIBAEAQDAEDQOAQGAQEAWGRNGI5AGAQCAYKBYAIBAMLAGAQDAMEASAIBAIDAY,90
186,CIBQIAIFAEBR2MIFAEAQGCIUDAZACAQBA4AQKAIFB4KCAKBLAA,89
187,CIBQCAIBCYBAEAICA4DAEBQVCYOC2OR6AIAQEAIGAUBAMBIIBMKBWAIBAIDBC,89
188,CIBQEAIDD4QQOAIBBMLB4JRJFIYACAQBAIBAEAIBAMCAGAIDAQMDKAA,88
189,CIBQCAQGCYDACAABBELB2JZLAIBAACIKAMAQEBQIAQAQAFI2EUTACAQABAAQCAQAA4,87
190,CIBAKAIEBYIBWNBYAYAQADYXDIQSQKQDAEBAIBQBAEACSAICAAFACAICAACQ,87
191,CIBAGAIDFYZTOBIBAUUDCMRVGYBQEAIDAQLACAQDBECQCBIBB4RSWOAA,87
192,CIBQCAQGHIAQCAIDAIBACBQJAMBACAIUFIBAEAICAQDQEBQBAQFREHBAFUBQCAIBEEBQEBQCCQZAEAQBAUEA,87
193,CIBQGAIDFYZTOAICAMEQQAIFAEOSQKZRGI2TMAQBAEBRMAIBAUHQA,86
194,CIBQKAQGBAHB2LJOAUAQIGY7EQ2DUAICAQDAEAIBAQAQEAQGCQOACAIBAQYQ,86
195,CIAAEBQBAUARSHJIFM3ASAIBAEDQWFQ2EQTDENYCAMAQKDZBGEDQCAIJCMKCOKBJHA,86
196,CIBQCAIFFABAEBIIBIDAEBQ5E4WC6NJYAMBAEBRFGYBQCBIZDU3ACAQFA4AQCAQFAM,86
197,CIBQEAIDAQXAKAIECENR6JBUAMBAGBYIBEBAEAIEDIYQEAQDAECAEAIBAQWACAQDAY,86
198,CICAGAIABQHRUAICAAFAKAIBBAERAGJVAIBACAYHAIBACAAGGEAQEAABAEAQCAJL,85
199,CIBQIAIBAMERQMQBAIAQOBYBAUARIHJAFAVTCAICAECQ6NQA,85
200,CIBAGAIEDMSDICACAYEAWGQ4EEWTCOQCAEAQIHYCAIDAIFABAEBAMHI,84
201,CIAQIAQGAULC2PQDAUAQGCYYFIWDOBQCAYAQQFI3EY5ACAQDBABACAQGEABQCAYNCYZQ,84
202,CIBQCAIBCYBQEAICAYDQOAQGAUFRKFRNHI7ACAQCAYKBYAQBAEAQIAQCAYEBC,84
203,CIBQIAIBAMERQMQFAECRIHJAFAYQCAQBA4BACAIBBMCACBIBB4VTMAA,83
204,CIBQCAIFAMEACAYCBAHRIHRFEYUAGAQDAMCAKAICAEBQYLYA,83
205,CIBQEAIFDUUACAQFBICQEBQ5EUTS6OADAMBAMKJMGUBACBIZGYBAEBIHBABACAIFGQAQEBID,83
206,CIBQIAIFCQPDCNAEAEAQGBAWGIAQEAIHAIAQCAI6AUAQKBY5EAUC4AIBAEAQU,81
207,CIBQCAICBEDQCAAPCULBUHJGFMBAEAAJBIBQCAQAA4BQCAQCGE4QCAQCBAAA,81
208,CIBAIAIEBYIB6OAFAEAA6IJIFIYAEAQBAQNTCBABAALRUJJJAEAQCABS,81
209,CIBQCAIDG4BQEAYBAMDQMAIFCQOSQKZVHAAQIAIFB4YTENQCAEAQGEYBAECQC,81
210,CIBQEAIEBATQQAICAYEQYEIXEYYDEAICAIFAGAIBAQ2ACAICGEAQEAQFAEAQCAQV,80
211,CIBQEAIDAQQQQAIBAMDQWFQ6EYUTAAICAEBAEAQBAECCUAICAEDQCAIBAM2Q,80
212,CICACAICB4AQEAQFAIAQGLRXAMBAGAIHBEBQEAIDEQ3AKAICAIGCKLRYAIBAEAQJAEAQCARR,80
213,CIBAKAIBBMLB4JRQAUAQGBAYDIPSCAYBAEBTKAQBAECCUAICAEBAEAIBAMZQCAQBA4,78
214,CIBAGAIDAQPSCBQBAEBQWFRGFEYAGAIBAM2QIAIBAQDR4KQBAIAQEAIBAEBTG,78
215,CIBAKAIEAENR6JBUAUAQKAYUFAXTCAYBAECDUAQBAUASWAICAQDAEAIBAQPACAIFB4,78
216,CIBAGAIFDUUDIBACAYCCAIRNAIBQEBQCBATAKAIFAEKCWMJWAMAQEBQMAEAQKEYBAICQC,78
217,CIBAEAQBAIDQWAQGAUEAWDIUCULBYIJ2HYAACAICAYIQ,78
218,CIBQEAIEC4OAMAIFEISCQKZRGUAQEBIBAMAQCBARAEAQKOADAICQEBAIAIAQCBBRAIAQKAJW,77
219,CIBQEAIFB4UAGAQFA4EAUBYCAYOSKJZMF42TQAICAECQCGIA,77
220,CIBQGAIDAQPSCBYBAEDQWFRGFEVDAAICAEBACAQBAEBR4AQBAEAQCAQBAMZTK,77
